,Song,Artist,Lyrics
0,18,One Direction,"I got a heart and I got a soul
Believe me, I will use them both
We made a start, be it a false one, I know
Baby, I don't want to feel alone
So kiss me where I lay down
My hands pressed to your cheeks
A long way from the playground
I have loved you since we were eighteen
Long before we both thought the same thing
To be loved and to be in love
All I can do is say that these arms were made for holdin' you, oh
I wanna love like you made me feel
When we were eighteen
We took a chance, God knows we've tried
Yet all along, I knew we'd be fine
So pour me a drink, oh, love
And let's split the night wide open
And we'll see everything we can
Living love in slow motion, motion, motion
So kiss me where I lay down (
Ooh-ooh
)
My hands pressed to your cheeks (
Ooh-ooh
)
A long way from the playground (
Ooh-ooh
)
I have loved you since we were eighteen
Long before we both thought the same thing
To be loved and to be in love
And all I can do is say that these arms were made for holdin' you, 
oh
And I wanna love like you made me feel
When we were eighteen
When we were eighteen
Oh, lord
When we were eighteen
Kiss me where I lay down
My hands pressed to your cheeks
A long way from the playground
I have loved you since we were eighteen
Long before we both thought the same thing
To be loved and to be in love
And all I can do is say that these arms were made for holdin' you, 
oh
And I wanna love like you made me feel
When we were eighteen (
Eighteen
)
I wanna love like you made me feel
When we were eighteen (
Eighteen, yeah
)
I wanna love like you made me feel
When we were eighteen"
1,2009,Mac Miller,"Yeah
Eric
Well
I don't need to lie no more
Nowadays all I do is shine, take a breath and ease my mind, and
She don't cry no more
She tell me that I get her high 'cause an angel's s'posed to fly, and
I ain't askin' ""Why?"" no more
Oh, no, I take it if it's mine, I don't stay inside the lines
It ain't 2009 no more
Yeah, I know what's behind that door
Yeah, okay, you gotta jump in to swim
Well, the light was dim in this life of sin
Now every day I wake up and breathe
I don't have it all but that's alright with me
Take it nice and easy, took a flight to see me
Send you back home with a light that's beamin'
The whole team 'bout to figure it out
We ice cold, that's what winter about
And sometimes, sometimes I wish I took a simpler route
Instead of havin' demons that's as big as my house, mhmm
Have a ball with a dribble and bounce
'Cause the party ain't over 'til they're kickin' me out, yeah
Isn't it funny? We can make a lot of money
Buy a lot of things just to feel a lot of ugly
I was yea high and muddy
Lookin' for what was lookin' for me
But I don't need to lie no more
Nowadays all I do is shine, take a breath and ease my mind, and
She don't cry no more
She tell me that I get her high 'cause an angel's s'posed to fly, and
I ain't askin' ""Why?"" no more
Oh, no, I take it if it's mine, I don't stay inside the lines
It ain't 2009 no more
Yeah, I know what's behind that door
Yeah, they ask me what I'm smilin' for
Well, because I've never been this high before
It's like I never felt alive before
Mhmm, I'd rather have me peace of mind than war
See, me and you, we ain't that different
I struck the fuck out and then I came back swingin'
Take my time to finish, mind my business
A life ain't a life 'til you live it, I was diggin' me a hole
Big enough to bury my soul
Weight of the world, I gotta carry my own
My own, with these arms I can carry you home
I'm right here when you scared and alone, and I ain't never in a hurry
You don't ever gotta worry
Even when it's 7:30 and the time is runnin' low
When your heart get cold
See what's behind all them unturned stones
And I'm a pro when it come to my job
But really I'm just tryna start believin' in God
Now when it gets hard
I don't panic, I don't sound the alarm
Because I don't need to lie no more
Nowadays all I do is shine, take a breath and ease my mind, and
She don't cry no more
She tell me that I get her high 'cause an angel's s'posed to fly, and
I ain't askin' ""Why?"" no more
Oh, no, I take it if it's mine, I don't stay inside the lines
It ain't 2009 no more
Yeah, I know what's behind that door
I don't need to lie no more
Nowadays all I do is shine, take a breath and ease my mind, and
She don't cry no more
She tell me that I get her high 'cause an angel's s'posed to fly, and
I ain't askin' ""Why?"" no more
Oh, no, I take it if it's mine, I don't stay inside the lines
It ain't 2009 no more
Yeah, I know what's behind that door"
2,24K Magic,Bruno Mars,"Tonight
I just wanna take you higher
Throw your hands up in the sky
Let's set this party off right
Players
Put your pinky rings up to the moon
Girls, what y'all tryna do?
24-karat magic in the air
Head to toe so player
Look out, uh
Pop-pop, it's show time (Show time), show time (Show time)
Guess who's back again? (Brrah)
Oh, they don't know? (Go on, tell 'em) Oh, they don't know? (Go on, tell 'em)
I bet they know as soon as we walk in (Showin' up)
Wearin' Cuban links (Yeah), designer minks (Yeah)
Inglewood's finest shoes (Woop, woop)
Don't look too hard, might hurt yourself
Known to give the color red the blues
Woo, shit
I'm a dangerous man with some money in my pocket (Keep up)
So many pretty girls around me and they wakin' up the rocket (Keep up)
Why you mad? Fix your face, ain't my fault they all be jockin' (Keep up)
Players only, come on
Put your pinky rings up to the moon
Girls, what y'all tryna do?
24-karat magic in the air
Head to toe so player
Look out, uh
Second verse for the hustlers (Hustlers), gangsters (Gangsters)
Bad bitches and your ugly ass friends (Haha)
Can I preach? (Uh-oh) Can I preach? (Uh-oh)
I gotta show 'em how a pimp get it in
First, take your sip (Sip), do your dip (Dip)
Spend your money like money ain't shit
Ooh-ooh (We too fresh)
Got to blame it on Jesus
 
(Hashtag blessed)
They ain't ready for me, uh
I'm a dangerous man with some money in my pocket (Keep up)
So many pretty girls around me and they wakin' up the rocket (Keep up)
Why you mad? Fix your face, ain't my fault they all be jockin' (Keep up)
Players only, come on
Put your pinky rings up to the moon (Woo, hey, girls)
What y'all tryna do? (What you tryna do?)
24-karat magic in the air (Air, air)
Head to toe so player (Ooh)
Look out, uh
(Woo) Everywhere I go, they be like (Ooh, so player)
(Woo) Everywhere I go, they be like (Ooh, so player; ah)
(Woo) Everywhere I go, they be like (Ooh, so player, ooh)
Now, now, now
Now watch me break it down like, ugh
24-karat (Woo), 24-karat magic (What's that sound?)
24-karat, 24-karat magic (Come on now)
24-karat, 24-karat magic
Don't fight the feelin', invite the feelin', just
Put your pinky rings up to the moon (Ooh)
Girls, what y'all tryna do? (Tell me what you're tryna do)
24-karat magic in the air (Yeah, get up)
Head to toe so player (Hands up)
Put your pinky rings up to the moon (24-karat, 24-karat magic)
Girls, what y'all tryna do? (24-karat, 24-karat magic; do)
24-karat magic in the air (24-karat, 24-karat magic)
Head to toe so player (24-karat)
Look out, uh (24-karat magic)"
3,2U,David Guetta,"No limit in the sky that I won't fly for ya (For ya)
No amount of tears in my eyes that I won't cry for ya, ooh no
With every breath that I take
I want you to share that air with me
There's no promise that I won't keep
I'll climb a mountain, there's none too steep
When it comes to you, there's no crime
Let's take both of our souls and intertwine
When it comes to you, don't be blind
Watch me speak from my heart when it comes to you
Comes to you
Want you to share that
When it comes to you
Cupid ain't a lie, arrow got your name on it, ooh, yeah
Don't miss out on a love and regret yourself on it, ooh (Ooh)
Open up your mind, clear your head
Ain't gotta wake up to an empty bed
Share my life, it's yours to keep
Now that I give to you all of me, ooh
When it comes to you, there's no crime
Let's take both of our souls, and intertwine
When it comes to you, don't be blind
Watch me speak from my heart when it comes to you
Comes to you
Want you to share that
(
Share
)
When it comes to you
Want you to share that
When it comes to you (to you), there's no crime
Let's take both of our souls, and intertwine
When it comes to you (to you), don't be blind
Watch me speak from my heart when it comes to you
Comes to you"
4,47 (Remix),Anuel AA,"Mera, dime Ñengo
Real G4 Life hasta la muerte, cabrón
Yo le oro a Dios to'a las noche' pa' que el día que yo me muera, yo vaya pa'l cielo porque si me caigo pa'l infierno, le vo'a quitar el cliché al diablo, cabrón
En el cielo está Dios y en el infierno está el diablo
Pero entre-medio 'el cielo y el infierno, estoy yo, lambebicho
Yo soy lo más cabrón en la isla desde Roberto Clemente, cabrón
¿Tú no viste las noticias, cabrón?
Nosotros somo' intocable', Ñengo
Mera, dime Casper, mera, dime Farru
Los illuminati; mera, dime, Darell, brr
Anuel, mera, dime Sinfo
Trap Murdaz, cabrón
G-G-G-G-G-G-Geniuz
Bebé, tú no me va' a olvidar
To' estos cabrone' me quieren matar
Pero tú me brinca' encima de este bicho y yo te devoro como un animal (Como un animal)
Yo sé que me quieren matar, pero después que yo tenga dinero
Pa' comprar pistolas y rifles con balas, yo voy a guerrear (Yo voy a guerrear)
En mi case vivimo' en guerra, rifles militare'
Yo le oro a Dios porque ninguno de los míos resbalen
Aquí to' el mundo se muere, nadie resucita
Cabrones quieren matarte pa' verte en una camisa
Yo me compré un 47 (Brr; 
Real G4 Life
)
Yo me compré un 47 (
Ajá, ajá, ajá
; brr)
Yo me compré un 47, to'a las Glocks son fulete'
Yo me compré un 47, yo me compré un 47
Yo me compré un 47 y tengo un Honda sin 
marbete
 color vino
Pa' hacerle los manda'os a la muerte (A la muerte)
Ando tranquilo porque soy guerrero (Ey yo', ey yo')
Yo soy ligero y voy a estrujarte si no sacaste primero (Real G!)
Y cuando tire, va a morirse el que no se agache
De sangre correrán los bache', dicen ""Eah, diache (Anuel)
Te fuiste de scratcher"", llegamos nosotro'
Esto es pa' hombre', por eso salen con el pelo roto
Soy agua ardiente, corriente que te conecta como un 47
Cuando manda (Yah), cuando zumba (Yah) y cuando entra (Jajajajajaja)
Te dejan por dentro y aún con la epiléptica (Wuh)
Te suenan con los palo' y te rematan con la plástica
(Esta es la verdadera vuelta, baby)
Ya no estamo' en cero
Vivimo' la vida como los kilero' (Eso e' así)
Ya no cachamos octavo'
Cogimos la vía y los cachamo' entero (Pa' que sepa)
Solo puta' y dinero
La fuleta en la mano y los peine' entero' (Baby)
Los carros pa'l trabajo y completo vestí'o 'e negro
Conecta'os en las Islas Canarias
Los rifles me llegan desde Yugoslavia (Eh)
Estamos creci'os y controlamo' el área
Porque ahora no tengo una connect, cabrón, tengo varia'
Nosotros 'tamos conecta'o pa' allá arriba en New York (Real G4 Life, my nigga)
Y los bajamo' a Orlando directo, cabrón, pa'l calor
Aquí tenemos to' las connect
Dime tú quién pone la presión así como Darell, bo', la pone
Soldado' en to'a las posicione', las corta' con las extensione'
Ya tenemo' to'a las direccione'
Hijo 'e puta e' mejor que abandone' (¡Ey!)
Con los míos me monto pa' to'a las misione' (¡Darell!)
Y si quiere' guerra, ven a donde mí
Pa' que sepa, cabrón, no tengo miedo a morir
Un AK-47 y peines de refill
Te mueres sí o sí, después que me ponga pa' ti
Y si quiere' guerra, ven a donde mí
Pa' que sepa, cabrón, no tengo miedo a morir
Un AK-47 y peines de refill
Te mueres sí o sí, después que me ponga pa' ti
(
¡Farru!
)
Yo me compré un 47 (Yeh), y una 27 (Yeh)
Por si me quedo sin balas o se me tranca el fulete
Pa' borrarte la cara cuando el botón apriete' (Oh-yeh)
Cómo grita esta ostia, pa' guerrear, aquí hay billete (Jaja)
Quieren roncarme y no pueden (Pueden), quieren matarme y no pueden (Pueden)
Pero si fallas tirando, en el mismo intento to'itos se mueren (Mueren)
To' pa' mí tienen mano' (Yeh) pero siempre les gano
Si los pillo' por ahí dormí'o, le pago a una puta y los seteamo' (
Brr
)
Y ahí te secuestramo', te torturamo', picamo' y fin (Yeh)
Celebro con botella en mano en el V.I.P (Yeah)
Real G como Ñengo y Darell
Real hasta la muerte siempre, Free Anuel
En mi case vivimo' en guerra, rifle' militare'
Le ruego a Dios porque 'e los míos, ninguno se me vire
Aquí to' el mundo
 se muere, nadie resucita
Cabrones quieren matarte pa' verte en una camisa
Yo me compré un 47 (Brr)
Yo me compré un 47 (Brr)
Yo me compré un 47, yo me compré un 47
To'a las Glocks son fulete', yo me compré un 47, eh
Que yo 'toy ready pa' ti, tú sabe' quién yo soy
 (Wuh)
Yo ando con Farru en un Rolls Royce
Los juguete' y no son de KB Toys
Te pillamo' y te lo' damo' ante' de que a tu mujer le envíe' un voice
Como Héctor, con el combo de 70 (Eh)
Yo soy lo más cabrón que nació pa' los 90's
Me compré un 47 y una 40
Yo cargo un rosario bendecío' y con to' eso, el diablo me tienta
Ma', yo 'toy rega'o como lo' meme'
Te enterramo' y despué' a tu mujer yo se lo me-me—
Yo sé que estoy mal, que el cielo me condene
Pero esto es real hasta que en el infierno me queme (Rrr)
Hoy las Retro 11 me las customizo y las pinto de roja con to'a la sangre tuya que caiga en el piso
En guerra avisada, nunca muere gente, por eso es que yo no aviso
Mi palabra pesa, yo no me retracto
Yo soy la nueva religión, la baby quiere un pacto (Yeh)
Con demonios yo no hablo pero tengo su' contacto'
Marco el 6-6-6 y en el pecho sienten el impacto (¡Rrra!)
(
Nosotro' somos los mágicos, ¡Casper!
)
Recuerdo cuando no tenía un carajo (Carajo)
Que las cosas estaban mala', no tenía ni pa' un octavo (Ah)
Gracias a Dios, las cosas cambiaron (Cambiaron)
Y ahora quieren de este bicho to' esa' puta' que picharon (Brr)
Me compré un 47 y le puse un botón (Botón)
Las Glocks son to'a fulete', carbón 15 con el caracol (Caracol)
Ruégale a Dios que no te pille con el de tambor (Ah)
Que si lo prendo, va' a sentir del diablo el calentón (Brr)
Mera, dime Casper, los intocable', los illuminati'
Yo estoy preso, yo no estoy muerto, cabrón
Pero, ¿y si yo salgo mañana? ¡Jaja!, brr
Nosotro' somo' los que tenemo' la puta calle prendí'a en fuego, ¿oíste, cabrón?
Nosotro' somo' los verdadero' hijo e' puta', Me vo'a caga' en la madre
Fuletazo' con la 23 (Wuh), Jordan en el '93 (Ah)
Me meto pa' tu canto, el kiosko te tranco y la cara te la hago puré (Brr)
Tengo al diablo en la casa 'e cristal (Cristal), 27, no vamo' a chotear (Chotear)
Me compré un 47, lo hice fulete, hijo 'e puta, el que quiera guerrear (¡Brr!)
Te mandamo' caliente, 21 pa'l pecho, Roberto Clemente (Roberto Clemente)
Te voy a prender el timbal en la cara, cabrón, a nombre 'e Tito Puente' (Brr)
Se dejaron ver, ahora esto' cabrone' cantan como Anuel
Se dejaron ver, subiendo los tuyo' a cuarta' de los de él
En mi case vivimo' en guerra, rifles militare'
Yo le oro a Dios porque ninguno de los míos resbalen
Aquí to’' el mundo se muere, nadie resucita
Cabrones quieren matarte pa' verte en una camisa
Yo me compré un 47 (Brr; brr)
Yo me compré un 47
Yo me compré un 47, to'a las Glocks son fulete'
Yo me compré un 47, yo me compré un 47
Yo a vece' siento que la muerte 'tá persiguiéndome pero yo no vo'a correr (Correr)
Las corta', los palo', los peine', yo me compré cuatro tambores ayer (Ayer)
Ustedes to' me traicionaron como a Jehová lo traicionó Lucifer (Amén)
Y yo nunca vo'a cambiar la lealtad de un hermano por una mujer (Canto e' puerco)
Mi hijo va comer, y con el R fulete te vamo' a cocer (Cocer)
Las balas van a llover (Brr), pero yo tengo que ver a mi hijo crecer (Crecer)
Yo no me vo'a esconder (-conder)
Si yo no soy intocable, pues, traten a ver (¡Brr!)
El AK te va a morder (Morder)
Los muertos te están esperando, tú te va' a caer (Caer)
Yo nunca me asusté (Asusté)
Ello' me fantasmearon y se los acosté (Acosté)
Les mandé y me abajé (Me abajé)
Y el palo en el pecho yo se lo espeté (¡Brr!)
Lo resucité, y le prendí mi fulete y volví y lo maté (Lo maté)
La vida se la quité (Quité), y tira'o como un zombie yo lo retraté (¡Jaja!)
En mi case vivimo' en guerra, rifles militare'
Yo le oro a Dios porque ninguno de los míos resbalen
Aquí to’' el mundo se muere, nadie resucita
Cabrones quieren matarte pa' verte en una camisa
Yo me compré un 47 (Brr)
Yo me compré un 47 (Brr)
Yo me compré un 47, to'a las Glocks son fulete'
Yo me compré un 47, yo me compré un 47
(¡Brr!, Anuel)
Real hasta la muerte, ¿oíste, cabrón? (Mera, dime, Ñengo)
Real G4 Life hasta que me maten
Me vo'a cagar en la madre 'el diablo
Trap Murdaz
Real G4 Life
Lil Geniuz, dímelo Sinfo
(
Casper
Mera, indíca Martino
Dile a estos cabrones que los que quedan son los palestinos, bebé
)
*Darell*
*¿Tú me está' entendiendo lo que te estamo' queriendo decir?*
(Mera, dime Farru, los Annunaki, cabrón)
(Mera, dime Darell, nosotro' somo' intocable', baby)
Anuel, brr
¿Mera, cabrón, tú te acuerda' cuando Jordan se ganó los 3 campeonato' y se tiró pa' atrá' ese año, que se fue a jugar pelota, y después dio pa' atrá' y se ganó los 3 campeonato'?
Esta mierda, va a ser esa misma mierda cuando yo salga, lambe bicho, ¿oíste, cabrón?
Real hasta la muerte, hijo 'e puta"
5,505,Arctic Monkeys,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs
Stop and wait a sec
And when you look at me like that, my darlin'
What did you expect?
I'd probably still adore you
With your hands around my neck
Or I did last time I checked
Not shy of a spark
The knife twists at the thought
That I should fall short of the mark
Frightened by the bite, though
It's no harsher than the bark
The middle of adventure
Such a perfect place to start
I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs
But I crumble completely when you cry
It seems like once again you've had to greet me with goodbye
I'm always just about to go and spoil the surprise
Take my hands off of your eyes too soon
I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs
 
and a smile"
6,7 rings,Ariana Grande,"Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah (Yeah)
My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)
I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)
Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms
My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for (Just for) the closet (Closet)
Both his and hers, I want it, I got it, yeah
I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)
Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got the juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah
I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)"
7,A Day in the Life,The Beatles,"I read the news today, oh boy
About a lucky man who made the grade
And though the news was rather sad
Well, I just had to laugh
I saw the photograph
He blew his mind out in a car
He didn't notice that the lights had changed
A crowd of people stood and stared
They'd seen his face before
Nobody was really sure if he was from the House of Lords
I saw a film today, oh boy
The English Army had just won the war
A crowd of people turned away
But I just had to look
Having read the book
I'd love to turn you on
(Seven, Eight, Nine, Ten)
Alarm clock rings
Woke up, fell out of bed
Dragged a comb across my head
Found my way downstairs and drank a cup
And looking up I noticed I was late
Found my coat and grabbed my hat
Made the bus in seconds flat
Found my way upstairs and had a smoke
And somebody spoke and I went into a dream
Ahh-ah-ah-ah
Ah-ah-ah, ah-ah-ahh
I read the news today, oh boy
Four thousand holes in Blackburn, Lancashire
And though the holes were rather small
They had to count them all
Now they know how many holes it takes to fill the Albert Hall
I'd love to turn you on
Whistle
Studio chatter
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)
(Never could be any other way)
(Never been so high
What’s that?)"
8,A Sky Full of Stars,Coldplay,"'Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
'Cause you light up the path
I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you ooh-ooh-ooh, ooh-ooh-ooh
'Cause you're a sky, 'cause you're a sky full of stars
I wanna die in your arms, oh-oh-oh, oh-oh
'Cause you get lighter the more it gets dark
I'm gonna give you my heart, oh
I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I see you ooh-ooh-ooh, ooh-ooh-ooh
I think I see you ooh-ooh-ooh, ooh-ooh-ooh
'Cause you're a sky, you're a sky full of stars
Such a heavenly view
You're such a heavenly view
(Yeah, yeah, yeah, ooh)"
9,APESHIT,Quavo,"Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Stack my money fast and go (fast, fast, go)
Fast like a Lambo (skrrt, skrrt, skrrt)
Jumpin' off the stage, though (jumpin', jumpin', hey, hey)
Crowd goin' savor (crowd goin', hey, hey)
This is what we made for (this is what we made, made)
This is why we're thankful (this is why we thank, thank)
This a different angle (this a different angle)
Thеy know this a banger (bang, bang, bang)
I don't talk to strangers, no, no, no (no)
'Bout my chips with the dip likе Doritos (chips)
I got a bad bitch, bad bitch (bad), I got a carriage, carriage
She got expensive fabrics, I told her gas it, mash it (uh)
She wanna go with me (go with me)
I told her roll the weed (roll the weed)
She cannot be with me (be with me)
But I can put you on the team (team)
Ice ornaments (icy), icy style tournaments (woo)
You ain't on to this (no), don't think they on to this (no)
(Yeah, yeah, yeah, yeah, yeah, yeah)
Flooded Patek
(Yeah, yeah, yeah, yeah, yeah, yeah)
Gimme the check
(Yeah, yeah, yeah, yeah, yeah, yeah)
Ride with that
(Yeah, yeah, yeah, yeah, yeah, yeah)
That's a bet (uh, hey)
Pass the 'Roc, gimme the ball, take the top shift (ball)
Call my dogs and put 'em all on a spaceship (brr)
Hang with me one night and I'll make you famous (hey)
Have you ever seen the stage go apeshit? (ey)
Stack my money fast and go (fast, fast, go)
Fast like a Lambo (skrrt, skrrt, skrrt)
Jumpin' off the stage, though (jumpin', jumpin', hey, hey)
Crowd goin' savor (crowd goin', hey, hey)
This is what we made for (this is what we made, made)
This is why we're thankful (this is why we thank, thank)
This a different angle (this a different angle)
They know this a banger (bang, bang, bang, Offset)
Only danger (dangerous), whole lot of gangin' (gang)
35 chains (chains, chains), I don't give a damn 'bout the fame (no)
G5 planes (tshh, tshh), Alexander Wang (woo, woo)
She a thot (thot) that you claim (woo!)
Can't be toppin' my reign (c'mon, c'mon, c'mon)
Pop it off, pop it off, don't let me pop it off
Go to the dealer then cop it all (cop it all)
I'm taking a down on the Adderall (Adderall)
I'm serving the purp with the Tylenol (serve)
All of my niggas, I free 'em all (grr)
Hop in the whip, wanna see the stars (uh)
Sendin' the missiles off, your diamonds got cloudy fog
250 for the Richard Mille, yeah, yeah, I live in a field
The molly make bitches go kneel
I take it with me so that is my shield
Look at this jewelry, it's lethal (lethal)
These diamonds on me an' they see-through (see-through)
I'm a Martian, they wishin' they equal (equal)
I got M's on the back like Evisu (hey)
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Stack my money fast and go (fast, fast, go)
Fast like a Lambo (skrrt, skrrt, skrrt)
Jumpin' off the stage, though (jumpin', jumpin', hey, hey)
Crowd goin' savor (crowd goin', hey, hey)
This is what we made for (this is what we made, made)
This is why we're thankful (this is why we thank, thank)
This a different angle (this a different angle)
They know this a banger (bang, bang, bang)"
